"precio","titulo","autor"
"1080"," Grupos Turisticos y Discapacidad: Pautas, Atencion y Diseno (Temas de Turismo)  ","Maria Fernanda Gomez"
"1080"," Creacion Eucaristia y Ciencia  ","Alberto Francisco Boccacci"
"1080"," Calidad Turistica en la Pequeña y Mediana Empresa  ","Roberto Boullon"
"1080"," Hombrecitos  ","Ange-Daniel"
"1080"," robin hood  ","anonimo"
"1080"," Una Escuela Para los Adolescentes/ a School for Adolescents (Bib. Pedagogica) (Spanish Edition)  ","Emilio Tenti Fanfani"
"1080"," La Cabana Del Tio Tom / Uncle Tom's Cabin  ","Harriet Beecher Stowe"
"1080"," Cada cual a su juego  ","Luigi Pirandelo"
"1080"," Volver a Empezar. Sabiduria Espiritual Para Aprender a Vivir con la Enfermedad  ","Mary C. Earle"
"1080"," Teatro 3: La dama del alba, Retablo jovial y La tercera palabra  ","Alejandro Casona"
"1080"," HITOS EN LA HISTORIA DE LA IGLESIA (Spanish Edition)  ","MCBRIDE ALFRED"
"1080"," Los Sirvientes (Novelistas De Nuestra Epoca) (Spanish Edition)  ","Gustavo Bossert"
"1080"," La Vida en la Montana  ","-. Cunning Claybourne"
"1080"," enrique vi  ","william shakespeare"
"1080"," Las Razones de la Equidad  ","Laura Pennacchi"
"1080"," Novelas Ejemplares Ii  ","Miguel De Cervantes Saavedra"
"1080"," Proyectar La Felicicdad (Spanish Edition) by Acquaviva, Sabino  ","acquaviva. savino"
"1080"," El Precio De LA Libertad (Losada Breve) (Spanish Edition)  ","Angelo Panebianco"
"1080"," Los Orilleros el Paraiso de los Creyentes  ","Jorge Luis Borges; Adolfo Bioy Casares"
"1080"," poema del cante jondo  ","Federico Garcia Lorca"
"1080"," Celulas Madre  ","Lago Noemi,Chachques Juan Carlos,Herreros Jesus,Trainini Jorge C."
"1080"," Musica sentimental (Biblioteca Clasica y Contemporanea) (Spanish Edition) by .  ","cambaceres. eugenio"
"1080"," como un grano de mostaza  ","Alcon Bonet"
"1080"," misántropo, el n/f  ","moliere"
"1080"," Dios Esta Sanando  ","Jose María Silveyra"
"1080"," lomas del mirador  ","luis tedesco"
"1080"," Literatura Espaola E Hispanoamericana, La (Spanish Edition) by Roffe, Mercedes  ","roffe. mercedes"
"1080"," The Antologia Rota  ","Felipe Leon"
"1080"," Juan Soldado  ","Varios Autores"
"1080"," La escuela vacía : deberes del Estado y responsabilidades de la sociedad.  ","Emilio - Tenti Fanfani"
"1080"," De Sobremesa  ","Jose Asuncion Silva"
"1080"," La Dama del Alba  ","Alejandro Casona"
"1080"," casadangelo  ","Giovanni Jannuzzi"
"1080"," Cabeza de Goliat, la  ","Ezequiel Martinez Estrada"
"1080"," Juan Pablo ii. Gracias. Rustica  ","Geraldine Schindler (Comp.)"
"1080"," Maquiavelo  ","Phil Harris"
"1080"," Antologia Pedagogica  ","Lorenzo Luzuriaga"
"1080"," El Adefesio  ","Rafael Alberti"
"1080"," america latina en marcha  ","margarita gutman"
"1080"," Cronicas del Naufragio: Apuntes Sobre la Caida Argentina  ","Sandra Russo"
"1080"," Recuerdos Gastronomicos  ","Curnonsky"
"1080"," rodolfo walsh, entre el combat  ","joaquin fernadez"
"1080"," julio verne, la conquista del universo  ","dimilta juan"
"1080"," juan gelman, esperanza, utopía  ","pablo montanaro"
"1080"," borges, la tiniebla y la gloria  ","luis benitez"
"1080"," Una Lectura de la Contienda Entre Horus y Seth  ","Marcelo Campagno"
"1080"," Amor a los 70 el  ","Silvia C Fairman"
"1080"," Dónde Vive Dios?  Cuando los Niños Preguntan  ","Marc Gellman"
"1080"," Hacia Tu Angel Solar  ","Monica Barbagallo"
"1080"," Santo ya  ","Varios Autores"
"1130"," Agenda Inteligente Bitácora Literaria 2010  ","Tito Matamala"
"1130"," Joaquín Lavín, Sonriendo por la Vida  ","Gonzalez Camus Ignac"
"1130"," Sonetos Lujuriosos  ","Pietro D`Arezzo"
"1130"," integracion comercial  pobreza y democracia  ","Pizarro Crisostomo"
"1140"," ben 10 el fantasma anda suelto  ",
"1160"," Inventos Y Descubrimientos  ",
"1180"," La Devocion de la Cruz  ","calderon de la barca pedro"
"1190"," Ni un Poquito asi de Miedo  ","Mercedes Perez Sabbi"
"1230"," Sol Mira Para Atras, el  ","Delia Dominguez"
"1230"," juegos entretenerse viaje  ",
"1230"," Santiago Styles Tribus Urbanas  ","Estefania Perot Quevedo"
"1230"," Conversaciones al Final de la Noche y Otras Historias. Prólogo de Jaime Collyer.  ","Ernesto"
"1230"," Gente en el Alma Cronica de una Solidaridad Silenciosa  ","Luis Guastavino"
"1240"," Las Leyendas no son Cuentos  ","Silvia Florentino"
"1250"," Juego con Duendes  ","Uranito"
"1260"," Oiga, Chamigo Aguara  ","Adela Basch"
"1340"," Animales de la Granja  ","Varios"
"1350"," Diario del Plan de Fuga  ","Juan Jose Dimilta"
"1350"," La Literatura Fantástica  ","Rudyard Kipling"
"1350"," Sentimientos de la Nación. El Sitio de Cuautla ","Heriberto Frias,  Jose Maria Morelosy Pavon"
"1350"," La Madre del Metro y Otros Cuentos ","Oscar De La Borbolla"
"1350"," Estrategiaweb com Nuevo Extremo  ","Julio Sol"
"1350"," Los Mártires de Tacubaya ","Juan Antonio Mateos"
"1350"," De Infiernos y Paraisos  ","Dori Yair"
"1350"," Diario de un Verano Alienigena  ","Juan Jose Dimilta"
"1350"," Complot Contra los Escipiones, el ","Valerio Massimomanfredi"
"1350"," Amenaza Transgenica la Bolsillo  ","Jorge Kaczewer"
"1350"," Petite Mort  ","Bragagnolo Matias"
"1350"," Diario del Hombre que Piensa el Agua  ","Claudio Campagna"
"1350"," The Striker. Isaac Bell 6 (libro en Inglés)  ","Clive Cussler"
"1350"," Disney Infinity: Infinity and Beyond Sticker Activity Book ","aa vv"
"1350"," 101 Casi historias (Spanish Edition)  ","Martina Flor"
"1350"," De Noche Vienes ","Elena Poniatowska"
"1350"," El Intérprete Griego  ","Arthur Conan Doyle"
"1350"," Yo soy Fontanarrosa ","Juan Villoro"
"1350"," This Star Won't go out (libro en Inglés)  ","Earl, Esther,Earl, Lori,Earl, Wayne"
"1350"," The Invention of Wings (libro en Inglés)  ","Sue Monk Kidd"
"1350"," Secreto Del Torreon Negro,el  ","rodolfo otero"
"1350"," Just one Evil act (libro en Inglés)  ","Elizabeth George"
"1350"," Hotaru  ","Kawamichi Sancia"
"1350"," El Alhajadito  ","Miguel Angel Asturias"
"1350"," Peregrinos en Chamundi: 062 (Otros Integral)  ","Ariel Glucklich"
"1350"," Gotita ","Arturo Bolivarbarreto"
"1350"," La Saga de Fiolmod  ","Kristinn Olafsson"
"1350"," buenos aires populares ed. bi  ","kogan sorondo"
"1350"," por que estas aquí?  ","john p. strelecky"
"1350"," Disney Infinity Toy Box Mix And Mash Sticker ","Andy, Davidson"
"1390"," Cauce  ","Camila Fadda"
"1390"," Mandalas de la Mente  ","Equipo Artemisa"
"1390"," Bibliodiversidad ","Susan Howthorne"
"1390"," (Re)Flexiones de Jean Claude Van Dammit  ","patricio basso"
"1390"," Aprendo a Escribir el Alfabeto (Imprenta) Rustico  ","Varios Autores"
"1390"," Mandalas del Corazon  ","Equipo Artemisa"
"1390"," bragueta de bronce  ","luis freire sarria"
"1390"," Gravity Falls. Juega a lo Grande con Dipper y Mabel  ","Disney Publishing Worldwide"
"1390"," El beso del payaso  ","Pepe Torres"
"1390"," Enteogena  ","Sergio Alfsen"
"1390"," Trazo y Juego 3°  ","EQUIPO LAROUSSE"
"1400"," Tus Princesas Favoritas ","Autores Varios"
"1400"," Tus Hadas Favoritas  ","Autores Varios"
"1400"," Objetivo: Volcan  ","Anne Rooney"
"1400"," Rosabetty Muñoz. En Breve. ","Rosabetty Muñoz"
"1450"," col.grandes ctos.clasicos ","clasicos"
"1470"," comunicacion social  ","edison otero"
"1490"," Mi Primer Diccionario  ",
"1500"," Uñas Doradas y Otros Cuentos  ","Arrate"
"1500"," lecciones del tiempo vivido  ","Fernando Castillo"
"1500"," a medio morir cantado  ","david benavente"
"1500"," Horoscopo Chino 2019 Pedro Engel  ","Pedro Engel"
"1500"," Vicio de Escribir, el  ","Alfonso Calderon"
"1500"," Comunicacion de la a a la z  ","Edison Otero"
"1500"," Hacia el Analisis Vocacional Grupal  ","Horacio C. Foladori"
"1500"," pasajeros en transito  ","jorge arrate"
"1500"," Ultima vez que me Exilio mis Memorias  ","Amanda Puz"
"1500"," Coloquio del oro y el Moro  ","A. Uribe"
"1500"," Asesinato en la Cancha de Afuera  ","Óscar Bustamante"
"1500"," El año de la Ira. Diario de un Poeta Chileno en Chile, Septiembre de 1973  ","Jaime Quezada"
"1500"," Permiso Para Quererme  ","Ana Maria Daskal"
"1500"," Travesia a Vulcano la Peligrosa Aventura del Pensamiento  ","Salinas"
"1500"," Bobbio: Un Diálogo con su Pensamiento Desde los Desafíos Políticos de  ","Ernesto Aguila"
"1500"," Viajes al Entremundo  ","Liliana Pualuan"
"1500"," tutto ben considerato  ","garcia luzoro"
"1500"," Chile: Crónicas de un País Inconfundible. Personajes en Busca de un Lector.  ","Hernan Millas"
"1500"," Debatiendo sin ira Conversaciones Politicas Entre la Critica y la Espe  ","Ernesto Ottone"
"1500"," diario enamorado  ","Uribe Arce Armando"
"1500"," La Trastienda del Gobierno. El Eslabón Perdido en la Modernización del Estado Chileno.  ","Maria De Los Angeles Fernandez Ramil"
"1500"," La Democracia Frente al Poder. Chile 1990 ","Augusto Varas"
"1500"," Memorias de un Testigo Involuntario. 1973 ","Sergio Marras"
"1500"," Setenta Días de Noche. 33 Mineros Atrapados: Historia Oculta de un Rescate.  ","Emma Sepúlveda"
"1500"," Pablo Neruda. ","Nelson Osorio"
"1500"," Marcas en la Cabeza  ","Eduardo Carrasco"
"1500"," Te habría dicho que sí (Spanish Edition) ","Manuel Jofré"
"1500"," El Enigma de los Módulos  ","Eduardo Labarca"
"1500"," Lucha Inconclusa: Memorias de un Catalán Exiliado a Chile  ","Cristian Aguade"
"1500"," RELATOS DE UN VIEJO IMPERTINENTE  ","Cristian Aguadé"
"1500"," Que Significa el Trabajo Hoy. Cambios y Continuidades en una Sociedad  ","A.; Link, F; Stillerman, J. Cardenas"
"1500"," Devoradas  ","Juan Ignacio Correa"
"1500"," Pasado Pendiente Y Otras Historias Conversadas  ","Hector Aguilar"
"1500"," La Linea de tu Boca  ","Gina Aguad"
"1500"," Ventura y Desventura de Eduardo Molina: Materiales Para una Biografia  ","Alfonso Calderon"
"1500"," Chile, un Pais Dividido: La Actualidad del Pasado  ","Huneeus Carlos"
"1500"," conversaciones conmigo mismo  ","Eduardo Carrasco"
"1500"," Donde Estas Mama? La Maternidad Actual: Costos Invisibles en el Desarrollo Emocional de los Ninos  ","Marta Montaldo"
"1500"," Nocturno Para mi Madres  ","Amanda Paz"
"1500"," Descifrando la Ocasion: Prosas Breves  ","Carla Cordua"
"1500"," El Chile que se Viene Ideas Miradas Perspectivas y Suenos Para el 2030  ","Ricardo Lagos Escobar"
"1500"," La Globalizacion por Dentro  ","Raul Allard Neumann"
"1500"," Informe Final Memorias de un Editor  ","Carlos Orellana"
"1500"," El País Posible. Los Retos de la Democracia.  ","Sergio Mu&Ntilde;Oz Riveros"
"1500"," La Vulnerable Ostentación del Orden: La Parodia en Tres Novelas de Jorge Edwards  ","Adrian Santini"
"1500"," Resaca de la Hiena, la  ","Gianfranco Rolleri"
"1500"," Pubis y Otras Obsesiones  ","Tito Matamala"
"1500"," La Propuesta Ciudadana: Una Nueva Relacion Sociedad Civil ","Varios Autores"
"1500"," Preterito Presente  ","Iturra Carlos"
"1500"," Memorias del Desarraigo: Testimonios de Exilio y Retorno de Hombres y Mujeres de Chile  ","Loreto Rebolledo"
"1500"," Blogs Medios Tradicionales y Nuevos Medios  ","Autores Varios"
"1500"," El Lobby del Odio  ","Benjamin Galemiry"
"1500"," En Jaque  ","Camilo Escalona"
"1500"," Eliterazgo. Liderazgos Femeninos en Chile.  ","Clarisa Hardy"
"1500"," Desafíos del Progresismo, los  ","Editor Ernesto Aguila Z."
"1500"," Cartas de la Memoria  ","Malucha Pinto"
"1510"," Abraham Lincoln (libro en Inglés)  ",
"1530"," pego y leo  ","ali baba y los 40 ladrones "
"1530"," Al fin Libre!  ","Dolly Ray"
"1620"," col.camilo ","camilo"
"1670"," Frutillita y Dulce de Limón  ","Varios Autores"
"1710"," Me Gusta el Bosque  ","Varios"
"1720"," Marcador Monet Water Lilies ",
"1740"," Violeta  ","Pagatinas"
"1740"," Celeste  ","Pegatinas"
"1740"," Colores Brillantes Para Pintar n°1 Abeja  ","Vv.Aa."
"1740"," A Jugar! C  ",
"1740"," Colores Brillantes  ","Varios Autores"
"1740"," Genaro el Tiburon Astronomo  ","Gabriela Belziti"
"1740"," Ramiro el Perro Jardinero  ","Gabrie Belziti"
"1740"," Animales Busca Encuentra y Colorea  ","Varios Autores"
"1740"," Goyo el Conejo Musico  ","Irene Arregui"
"1740"," Cora la Gallina Cantora  ","Irene Arregui"
"1740"," Carmelo el Gato Equilibrista  ","Ana Iriarte"
"1740"," Wok y Arroces  ","Equipo Artemisa"
"1740"," Sopas y Guisados  ","Equipo Artemisa"
"1740"," Panes, Sandwiches y Wraps  ","Isabel Toyos"
"1740"," Tentenpies y Finger Food  ","Equipo Artemisa"
"1740"," Dinosaurios Agiles y Veloces  ","Alberto Moreno"
"1740"," Vehiculos ","Varios Autores"
"1740"," Dinosaurios los Herbivoros  ","Alberto Moreno"
"1760"," navidad para vivir en amor  ",
"1770"," Marcapagina Bookmark Dara Shikoh Night Heron ",
"1790"," Numeros  ","Monica Celis"
"1790"," Col. Brillantes ","Cuentos"
"1790"," Mini Diccionario de los Chistes  ","Equipo Artemisa"
"1790"," Ciencias ","Sin Autor"
"1790"," Codigos Secretos ","Sin Autor"
"1790"," Dinosaurios ","Sin Autor"
"1800"," Instantaneas y Retratos  ","Paz Sepulveda"
"1800"," Siete Maneras de Matar a un Gato  ","Mat&Iacute;As N&Eacute;Spolo"
"1800"," a los ojos del mar  ","monica mutis"
"1800"," Oblivion 3: La Vida Secreta de la Luna  ","Francesc Miralles"
"1800"," Ni tan Alto ni tan Difícil  ","Araceli Segarra Roca"
"1800"," Dificil Eleccion  ","Jefferies"
"1800"," Coca  ","Neville Isdell"
"1800"," REVOLUCION EN LA SALA DE CLASES by ENSENA CHILE  ","ENSENA CHILE"
"1800"," Oblivion 2 Tormenta de Estrellas  ","Francesc Miralles"
"1800"," El Espejismo Nuclear: Por qué la Energía Nuclear no es la Solución, Sino Parte del Problema  ","Núria Almiron Roig,Marcel Coderch Collell"
"1800"," Mi Vida entre líneas  ","José Musalem"
"1800"," Vuelo en el Intento  ","Rosa Ergas"
"1800"," Los que Hemos Amado  ","Willy Uribe"
"1800"," El Peor de los Guerreros  ","Rodrigo Diaz Cortez"
"1800"," El Pozo y las Ruinas  ","Jimena Nespolo"
"1800"," Mas Alla del Terror  ","Chris Abbott"
"1800"," Duende  ","Jason Webster"
"1800"," Locura Circular  ","Martin Lombardo"
"1800"," Hacia Dónde va la Población? Revista Anales. Séptima Serie, Nº3, Julio 2012.  ","Vv Aa"
"1800"," Los Latinoamericanos y el Tibet  ","Sellanes Zibechi Aloma"
"1800"," Paz (Literaturas)  ","Richard Bausch"
"1800"," Andanzas de la Enana Eumarginula  ","Liliana Pualuan"
"1800"," 50 Cosas sencillas que tu puedes hacer para salvar la tierra / The New 50 Simple Things Kids Can Do to Save the Earth (Spanish Edition)  ","John Sophie"
"1800"," Comedias Iniciales  ","William Shakespeare"
"1800"," UNIDAD EN ACCION LA  ","DARIO ERGAS"
"1800"," mirada del sentido, la  ","dario ergas"
"1800"," Chile: De un Pais Militar a un Pais Emprendedor: El Desafio que Viene  ","Rodolfo Silva"
"1800"," ceremonias interrumpidas  ","luisa eguiluz"
"1820"," Cinema ","Ramón Grifferro"
"1820"," El Cazador de Brujas y Otras Leyendas Argentinas  ","Gustavo Roldan"
"1820"," Voces De Muerte Vol. 1  ","Hernán Soto (editor)"
"1860"," Marcapagina Bookmark Lansdowne Ewicks Wren ",
"1880"," Caligrafia Zig ","Zig-Zag"
"1880"," delicados bebes  ",
"1880"," Caligrafia Zig ","Zig-Zag"
"1970"," Inspirados por los Angeles  ","Varios Autores"
"1980"," Las Aventuras de Sofia  ","Ignacio Carrasco"
"1980"," Los Increibles 2. Elastigirl Increible Siempre  ","Disney"
"1980"," Guia de Video Juegos 2016  ","Alejandro Alaluf"
"2000"," Las Aventuras de max  ","Max Valenzuela"
"2000"," Cuaderno Historia Secreta de Chile  ","Jorge Baradit"
"2000"," Ilusionate, Rie, Baila  ","Tati Fernandez"
"2030"," Magigrafias Minusculas  ","Didactico"
"2030"," Mis Juguetes  ","Sigmar"
"2030"," De Paseo  ","Jimena Cruz"
"2030"," Magigrafias Numeros  ","Didactico"
"2070"," Biologia Burbujeante  ","Steve Parker"
"2080"," col.pincel magico ","colorear"
"2080"," Donde Vamos de Paseo?  ","Bertina Araya"
"2080"," Que Hizo Rene Hoy?  ","Bertina Araya"
"2090"," Mandalas Para Pintar tu Imaginacion  ","Various"
"2090"," Perros Novedad  ","Equipo Artemisa"
"2090"," El Circo De Tomas. Actividades Para Pintar Y Entretenerse  ",
"2090"," Letras Disparatadas ","Planetajunior"
"2090"," Tres cerditos  ","blancanieves"
"2090"," Revista Atomo  n°4 ","Axel Kaiser"
"2090"," Pie,Cakes & Pudding ","Equipo Artemisa"
"2090"," Macarrones & Alfajores ","Equipo Artemisa"
"2090"," Mandalas Esferas Aztecas  ","Equipo Artemisa"
"2090"," Col. Animalitos Bebes I ","Latinbooks"
"2090"," Sopas (Cocina Fácil Internacional)  ","Equipo Dk"
"2100"," Contigo, Siempre  ","Annette Aubrey"
"2100"," La Gran Alianza ","Byviruzz"
"2100"," Carlitos Marx Rebelde  ","silva, miguel"
"2100"," Visita al Medico  ","Escenas Magicas Col"
"2100"," Princesas  ","Na"
"2100"," Biblioteca y Vida. Elogio del Encuentro  ","Geneviève Patte"
"2100"," La Familia de Laura  ","Annette Aubrey"
"2100"," Un Lugar en el Corazon  ","Annette Aubrey"
"2110"," Volver a Vivir  ","Julio Cesar Labake"
"2110"," para compartir contigo  ",
"2120"," El Desafio A La Violencia  ","Percival Cowley"
"2130"," nenedino y la oscuridad  ",
"2130"," nenedino y el huevo  ",
"2130"," Cuaderno The Clinic !Y va a Caer¡  ",
"2130"," Cuaderno The Clinic  ",
"2130"," Cuaderno The Clinic !A toda roja¡  ",
"2130"," Cuaderno The Clinic Cuidado Presidente Jugando.  ",
"2130"," Cuaderno The Clinic En la haya no ven el Hoyo.  ",
"2130"," Cuaderno The Clinic Compañero Superstar.  ",
"2130"," Cuaderno The clinic  Resistan.  ",
"2130"," Cuaderno The clinic  Michelle Bachelet  ",
"2130"," Cuaderno The Clinic El divorcio me cagó,  ",
"2130"," Cuaderno The Clinic Che tu madre.  ",
"2130"," Cuaderno The Clinic Al Pueblo su plata, que las cosas no están baratas.  ",
"2130"," Cuaderno The clinic  Al you need is Love.  ",
"2160"," Silabario Hispanoamericano Edic. Nueva  ","Adrian Dufflocq"
"2170"," Personal Estéreo y los Gusanos Star  ","María Del Pilar Clemente"
"2170"," Peter pan  ","Equipo Artemisa"
"2170"," La Cenicienta  ","Varios Autores"
"2180"," Salseo Gamer, Consejos Para Mejorar (o no) la Vida de un Aficionado a los Videojuegos  ","Alexby11 | Mangel | Sr. Cheeto"
"2180"," Salseo Gamer. Consejos Para Mejorar (o no) la Vida de un Aficionado  ","Alexby11"
"2180"," Horóscopo 2014  ","Paula González Zuanic"
"2180"," Cassandra  ","Byabeel Y Poker"
"2180"," Es una Broma!  ","Tiparraco"
"2180"," Jugando a ser Famoso  ","Coolife"
"2180"," Volver al Mercado  ","Ignacio Bazán"
"2180"," Es una Broma  ","Tiparraco"
"2180"," Escuadron 17. Mision ","Nexxuzhd Y Josemi"
"2180"," El Sacrificio de Deigamer  ","David Medina"
"2180"," Horoscopo 2017  ","Paula González"
"2180"," Love Music. Cosas que no te Atreverias de Decir de Otra Manera  ","Zarcort; Itowngameplay"
"2180"," Salseo Gamer: Consejos Para Mejorar (o no) la Vida de un Aficionado a los Videojuegos (Fuera de Colección)  ","Mangel,Alexby11,Sr. Cheeto"
"2200"," El Sueño Continúa  ","Ignacia Antonia"
"2230"," Diccionario Escolar zig  ","Elizalde, M. Isabel; Lepe, M. Soledad; Muso, M. Pia; Mujica, A."
"2230"," 109 Consejos Para Llegar a fin de mes  ","Matthew Honess"
"2240"," Un Monton de Juegos p  ","Colorear"
"2250"," Antología de la Prosa Medieval  ","Varios Autores"
"2250"," Sasha y oli a Jugar  ","Katherine Lodge"
"2250"," Sasha y oli al Parque  ","Katherine Lodge"
"2250"," Sasha y oli de Viaje  ","Katherine Lodge"
"2250"," A su lado : la guía del cáncer de mama dirigida a hombres (Paperback)  ","John W. Anderson"
"2250"," La Religión En El Diván  ","Manuel Conde Díaz"
"2250"," Culto a la Salud y a la Belleza, el  ","Ricard Morant I Marco,Jose Antonio Diaz Rojo,Debra Westall Pixton"
"2250"," Crecer a Golpes  ","Diego Fonseca"
"2250"," Libro del Transtierro = Trans ","Juan Ignacio Costero De La Flor"
"2250"," TIEMPO. CANCIONES DEL FARERO. VUELTA  ","Emilio Prados"
"2250"," Soy tu Principe Azul Pero Eres Daltonica  ","Miki Esparb&Eacute;; Paco Caballero Dom&Iacute;Nguez"
